iter	RMSE
0	3704.689147
1	3408.727995
2	3141.061284
3	2899.887114
4	2681.200351
5	2485.334088
6	2307.223959
7	2151.624367
8	2006.447933
9	1880.959076
10	1767.619451
11	1666.787877
12	1578.945403
13	1494.195905
14	1423.070502
15	1355.793729
16	1297.951594
17	1245.782696
18	1202.389605
19	1160.076873
20	1125.371823
21	1096.350531
22	1067.495483
23	1043.876089
24	1018.795275
25	992.6593834
26	971.7181854
27	950.0665084
28	933.6217644
29	919.8051572
30	903.2403045
31	890.4375578
32	878.294456
33	864.568906
34	856.2011945
35	846.2177993
36	836.2521818
37	825.869858
38	817.5820243
39	809.8029767
40	803.8187974
41	795.8131712
42	787.9053892
43	782.9299606
44	777.5080602
45	772.1041255
46	766.7995755
47	763.787552
48	759.6541568
49	755.3419639
50	750.6457103
51	748.660971
52	744.6590599
53	739.695658
54	735.0674767
55	731.078488
56	729.5341481
57	725.9322817
58	724.3949147
59	721.2248928
60	719.155763
61	715.2964812
62	714.0377986
63	712.1112043
64	709.1600167
65	705.6286816
66	701.8478118
67	697.3077997
68	694.0575133
69	692.1892083
70	689.6822091
71	687.7699688
72	685.2749797
73	683.9331469
74	682.7858757
75	680.8261295
76	678.1499623
77	676.8833951
78	676.2359923
79	675.3591909
80	673.9608458
81	671.67699
82	670.4251127
83	667.865621
84	667.2744733
85	665.5314296
86	663.5615584
87	661.7723938
88	660.3199298
89	659.5420955
90	658.1012335
91	657.108531
92	656.6021355
93	654.4614146
94	652.6629688
95	651.9078763
96	650.3259748
97	649.8451508
98	649.1587926
99	647.9708664
100	646.5134959
101	645.4449237
102	645.0589413
103	644.3251108
104	643.2448012
105	642.8074258
106	641.8174637
107	640.8171402
108	640.4902072
109	639.7325147
110	638.563132
111	638.1494374
112	637.371763
113	636.4278441
114	636.1169478
115	635.5404675
116	634.5813724
117	633.1736525
118	632.7302245
119	631.5704473
120	630.2877473
121	629.8934132
122	629.5840402
123	628.952333
124	628.3343962
125	627.2789847
126	626.1745388
127	625.3600716
128	625.1471151
129	624.7152274
130	624.4806386
131	623.5849067
132	622.6120701
133	622.1970112
134	621.8645561
135	621.664486
136	621.4385175
137	620.9575877
138	620.7347564
139	620.5462566
140	620.2596705
141	619.4263886
142	618.9282495
143	618.5899536
144	617.5635421
145	617.3340606
146	617.1404759
147	616.9327232
148	616.6813069
149	615.5422262
150	615.0022438
151	614.6834868
152	614.5237159
153	613.7777956
154	613.2451332
155	613.1127939
156	612.7612246
