iter	Passed	Remaining
0	7	7799
1	14	7217
2	21	7016
3	28	6996
4	34	6938
5	41	6883
6	48	6890
7	55	6845
8	61	6790
9	68	6784
10	75	6746
11	81	6711
12	87	6677
13	94	6648
14	100	6623
15	107	6626
16	114	6612
17	120	6597
18	127	6607
19	134	6601
20	141	6600
21	148	6584
22	154	6571
23	162	6592
24	168	6574
25	175	6579
26	182	6569
27	189	6578
28	195	6552
29	202	6542
30	209	6537
31	216	6541
32	222	6529
33	230	6536
34	236	6534
35	244	6543
36	251	6554
37	258	6551
38	265	6542
39	272	6530
40	278	6511
41	284	6498
42	291	6481
43	297	6472
44	304	6467
45	311	6455
46	317	6447
47	324	6432
48	331	6429
49	337	6419
50	344	6412
51	351	6410
52	357	6394
53	364	6384
54	371	6380
55	378	6375
56	384	6367
57	391	6361
58	397	6346
59	404	6330
60	410	6324
61	417	6312
62	424	6308
63	431	6310
64	437	6298
65	444	6290
66	451	6287
67	458	6287
68	465	6285
69	472	6278
70	478	6266
71	485	6253
72	491	6244
73	497	6229
74	504	6219
75	511	6215
76	517	6203
77	524	6195
78	530	6185
79	537	6176
80	543	6168
81	550	6158
82	556	6149
83	563	6141
84	569	6135
85	576	6128
86	583	6121
87	590	6119
88	597	6110
89	603	6103
90	610	6095
91	616	6088
92	624	6090
93	631	6085
94	638	6085
95	645	6079
96	652	6074
97	658	6063
98	665	6052
99	671	6040
100	678	6036
101	684	6029
102	691	6021
103	697	6013
104	704	6006
105	710	5994
106	718	5997
107	725	5992
108	731	5981
109	738	5972
110	745	5969
111	752	5962
112	758	5954
113	765	5946
114	771	5937
115	778	5930
116	785	5926
117	792	5920
118	798	5908
119	805	5905
120	812	5900
121	819	5897
122	826	5891
123	832	5883
124	839	5873
125	845	5864
126	852	5858
127	858	5850
128	865	5842
129	871	5834
130	878	5827
131	885	5824
132	892	5819
133	898	5809
134	905	5799
135	911	5790
136	917	5780
137	924	5774
138	930	5764
139	936	5755
140	943	5749
141	950	5740
142	956	5731
143	962	5723
144	969	5716
145	975	5705
146	981	5695
147	988	5687
148	994	5680
149	1001	5675
150	1008	5668
151	1015	5666
152	1022	5660
153	1029	5652
154	1035	5646
155	1042	5638
156	1048	5630
157	1055	5623
158	1061	5615
159	1068	5609
160	1074	5600
161	1081	5591
162	1087	5584
163	1094	5578
164	1100	5570
165	1107	5563
166	1114	5558
167	1120	5550
168	1127	5542
169	1133	5534
170	1139	5525
171	1146	5520
172	1153	5512
173	1160	5508
174	1167	5501
175	1173	5492
176	1179	5485
177	1186	5479
178	1192	5470
179	1199	5464
180	1206	5458
181	1213	5455
182	1221	5452
183	1228	5446
184	1235	5440
185	1241	5432
186	1247	5424
187	1253	5414
188	1259	5405
189	1265	5396
190	1272	5390
191	1279	5383
192	1286	5377
193	1292	5371
194	1300	5368
195	1308	5365
196	1315	5360
197	1326	5374
198	1336	5378
199	1370	5481
200	1378	5480
201	1385	5472
202	1391	5462
203	1397	5454
204	1405	5448
205	1412	5444
206	1418	5435
207	1425	5427
208	1432	5419
209	1438	5411
210	1445	5404
211	1452	5398
212	1458	5390
213	1465	5381
214	1471	5373
215	1477	5363
216	1484	5355
217	1491	5349
218	1497	5341
219	1507	5343
220	1513	5334
221	1521	5333
222	1528	5326
223	1535	5318
224	1541	5310
225	1548	5304
226	1555	5295
227	1561	5287
228	1568	5280
229	1575	5274
230	1582	5267
231	1588	5259
232	1595	5252
233	1603	5247
234	1610	5241
235	1617	5235
236	1624	5228
237	1630	5221
238	1638	5215
239	1644	5208
240	1651	5201
241	1658	5195
242	1665	5187
243	1672	5180
244	1678	5171
245	1684	5162
246	1690	5154
247	1697	5147
248	1704	5141
249	1711	5133
250	1718	5126
251	1724	5118
252	1730	5109
253	1736	5100
254	1743	5093
255	1750	5086
256	1758	5082
257	1764	5073
258	1770	5064
259	1777	5057
260	1783	5048
261	1789	5040
262	1796	5033
263	1803	5027
264	1809	5019
265	1816	5011
266	1823	5005
267	1830	4999
268	1836	4990
269	1842	4982
270	1849	4976
271	1856	4968
272	1862	4959
273	1868	4950
274	1875	4944
275	1882	4937
276	1888	4929
277	1895	4922
278	1901	4915
279	1908	4907
280	1915	4902
281	1922	4894
282	1929	4887
283	1935	4879
284	1941	4871
285	1948	4864
286	1954	4856
287	1961	4848
288	1967	4840
289	1973	4832
290	1980	4824
291	1986	4815
292	1992	4809
293	1999	4801
294	2006	4794
295	2012	4787
296	2020	4781
297	2026	4773
298	2032	4765
299	2039	4758
300	2045	4751
301	2051	4742
302	2058	4735
303	2065	4729
304	2072	4722
305	2078	4714
306	2085	4706
307	2091	4699
308	2098	4692
309	2104	4685
310	2112	4679
311	2119	4672
