iter	RMSE
0	3704.689147
1	3408.727995
2	3141.061284
3	2899.887114
4	2681.200351
5	2485.334088
6	2307.223959
7	2151.624367
8	2009.12514
9	1883.745575
10	1770.575615
11	1669.760512
12	1581.272567
13	1499.931483
14	1428.555891
15	1362.867629
16	1303.42268
17	1250.374815
18	1206.798854
19	1165.612557
20	1132.267437
21	1096.728114
22	1064.719698
23	1040.999045
24	1018.637465
25	1001.279985
26	980.9630921
27	959.0945921
28	940.6019212
29	928.3940006
30	912.3690016
31	897.7950593
32	885.480061
33	872.2001638
34	863.2421478
35	852.1018659
36	845.8469221
37	835.1315621
38	827.2012355
39	819.3156847
40	814.874872
41	805.4615906
42	800.2373611
43	793.889836
44	788.3759107
45	781.5699631
46	777.4708305
47	771.0770964
48	766.8422791
49	763.3745926
50	759.3237947
51	756.2281543
52	752.1966194
53	748.8072421
54	742.4318356
55	738.263281
56	735.1715551
57	731.0312
58	727.7666087
59	724.5670886
60	720.1946171
61	717.1158984
62	713.8638888
63	711.0897139
64	708.0748126
65	706.0800064
66	702.5625515
67	700.0345952
68	697.6195944
69	695.2691334
70	692.8366154
71	691.3576923
72	690.0504528
73	687.977811
74	685.8184122
75	683.5415602
76	680.9707939
77	679.3270238
78	676.1871102
79	674.7465252
80	673.1659205
81	672.1419578
82	671.457514
83	668.6555596
84	668.1019336
85	666.1325348
86	663.4791693
87	661.3783736
88	659.3295657
89	658.1877568
90	657.6244118
91	657.0594601
92	654.6568624
93	653.5514959
94	651.6450434
95	650.7556834
96	649.8885791
97	649.4437586
98	647.657994
99	646.8285078
100	645.1484633
101	643.4351717
102	643.0989188
103	641.6069176
104	640.4187429
105	639.9070012
106	638.894374
107	637.8964625
108	637.3889017
109	636.5557428
110	636.0417651
111	635.3115597
112	634.5223046
113	633.9485041
114	632.9795954
115	632.6050116
116	631.6223379
117	630.2305712
118	629.6164222
119	629.3214441
120	629.0667659
121	628.7422673
122	628.4273
123	627.6825638
124	626.4249762
125	625.3962611
126	624.6062074
127	623.9919372
128	623.7602003
129	622.7079361
130	622.2261036
131	621.5792062
132	621.2467312
133	620.6611406
134	620.3328639
135	620.1368514
136	618.8835647
137	618.6888475
138	618.2583119
139	617.6999169
140	617.0100861
141	616.7853789
142	616.3719395
143	615.9669626
144	615.3622437
145	615.1293948
146	614.7668437
147	614.5840109
148	614.0578557
149	613.6218545
150	613.1137739
151	612.841302
152	612.5239144
153	612.2838819
154	612.1589506
155	611.7220374
