iter	Passed	Remaining
0	6	6369
1	12	6292
2	19	6357
3	25	6335
4	31	6247
5	37	6168
6	42	6079
7	49	6078
8	54	6031
9	60	6011
10	66	5996
11	72	5940
12	77	5919
13	84	5922
14	89	5899
15	95	5879
16	101	5871
17	107	5850
18	113	5837
19	118	5797
20	124	5805
21	130	5800
22	136	5783
23	141	5762
24	148	5773
25	153	5765
26	160	5771
27	165	5750
28	171	5735
29	177	5726
30	182	5715
31	188	5703
32	194	5695
33	200	5690
34	205	5669
35	211	5661
36	216	5646
37	223	5654
38	229	5645
39	235	5657
40	241	5648
41	247	5642
42	253	5642
43	259	5644
44	265	5628
45	270	5616
46	276	5602
47	281	5591
48	287	5588
49	293	5569
50	299	5566
51	304	5552
52	310	5543
53	315	5531
54	320	5514
55	326	5507
56	333	5517
57	339	5516
58	345	5515
59	352	5519
60	358	5516
61	363	5505
62	369	5498
63	375	5491
64	380	5479
65	386	5470
66	392	5468
67	398	5460
68	404	5457
69	410	5458
70	416	5452
71	422	5450
72	430	5462
73	436	5467
74	443	5463
75	449	5463
76	456	5466
77	462	5468
78	468	5463
79	474	5454
80	480	5447
81	486	5443
82	492	5436
83	498	5439
84	504	5433
85	511	5432
86	517	5434
87	523	5422
88	528	5412
89	533	5398
90	539	5384
91	543	5368
92	549	5359
93	554	5347
94	561	5350
95	567	5346
96	574	5345
97	580	5339
98	586	5341
99	593	5339
100	599	5337
101	606	5337
102	612	5332
103	619	5333
104	626	5340
105	632	5334
106	638	5331
107	645	5330
108	652	5331
109	658	5331
110	664	5324
111	671	5322
112	677	5320
113	683	5315
114	690	5311
115	696	5304
116	702	5303
117	709	5302
118	715	5297
119	721	5288
120	727	5282
121	733	5278
122	739	5269
123	744	5262
124	751	5259
125	757	5256
126	764	5256
127	770	5252
128	777	5248
129	783	5245
130	789	5240
131	796	5236
132	802	5231
133	808	5228
134	815	5227
135	822	5226
136	830	5229
137	836	5223
138	843	5221
139	849	5219
140	856	5217
141	862	5214
142	869	5212
143	876	5207
144	882	5202
145	888	5196
146	893	5187
147	900	5182
148	906	5175
149	911	5166
150	918	5162
151	924	5156
152	929	5146
153	936	5143
154	942	5137
155	948	5132
156	955	5129
157	961	5124
158	968	5120
159	974	5116
160	981	5113
161	987	5109
162	994	5104
163	1000	5100
164	1007	5096
165	1013	5090
166	1019	5086
167	1025	5080
168	1031	5071
169	1036	5061
170	1043	5056
171	1048	5047
172	1053	5037
173	1059	5028
